Course title,category,duration,discount,course level,Aliases
Data Science,AI Programs,12 weeks,10%,Expert,"Data Analytics, Machine Learning, Artificial Intelligence, Big Data, Data Analysis, Data Engineering, Data Scientist, Predictive Analytics, Data Mining, deep learning"
Generative AI,AI Programs,12 weeks,10%,Expert,"Data Analytics, Machine Learning, Artificial Intelligence, Big Data, Data Analysis, Data Engineering, Data Scientist, Predictive Analytics, Data Mining, deep learning"
AI Automation,AI Programs,12 weeks,10%,Expert,"Data Analytics, Machine Learning, Artificial Intelligence, Big Data, Data Analysis, Data Engineering, Data Scientist, Predictive Analytics, Data Mining, deep learning"
API Development,AI Programs,12 weeks,10%,Expert,"Data Analytics, Machine Learning, Artificial Intelligence, Big Data, Data Analysis, Data Engineering, Data Scientist, Predictive Analytics, Data Mining, deep learning"
3D Modeling,Art and Design Programs,12 weeks,10%,Expert,"3D Design, 3D Rendering, 3D Art, 3D Visualization, CAD Modeling, Blender Modeling, Maya Modeling, 3D Sculpting, 3D Animation, Digital Sculpting, Architectural Modeling"
Video Editing,Art and Design Programs,8 weeks,10%,Expert,"Film Editing, Post-Production, Video Production, Cinematic Editing, Motion Editing, Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, Video Montage, Video Cutting, Video Effects Editing"
2D Animation,Art and Design Programs,11 weeks,10%,Expert,"Traditional Animation, Digital Animation, Frame-by-Frame Animation, Character Animation, Motion Graphics, Toon Boom Animation, Adobe Animate, Cartoon Animation, Cel Animation, Vector Animation, Flat Animation"
UI/UX Designing,Art and Design Programs,8 weeks,10%,Expert,"User Interface Design, User Experience Design, UI Design, UX Design, Interaction Design, Visual Design, Product Design, App Design, Website Design, Usability Design, Human-Centered Design, Digital Experience Design"
Graphic Designing,Art and Design Programs,12 weeks,10%,Expert,"Graphic Design, Visual Communication, Creative Design, Digital Design, Branding Design, Poster Design, Logo Design, Typography, Print Design, Illustration Design, Layout Design, Marketing Design"
Spoken English,Language Program,6 weeks,10%,Expert,"English Speaking, Conversational English, English Fluency, Spoken Language Skills, English Communication, English Speaking Course, English Pronunciation, Verbal English, English Conversation Practice, English for Beginners"
Digital Marketing,Digital Marketing,6 weeks,10%,Expert,"Online Marketing, Internet Marketing, Digital Advertising, Social Media Marketing, Web Marketing, Digital Strategy, Marketing Online, Performance Marketing, Digital Promotions, Digital Campaigns"
SEO,Digital Marketing,10 weeks,10%,Expert,"Search Engine Optimization, Website Optimization, Google SEO, Organic Search, Search Marketing, On-Page SEO, Off-Page SEO, Keyword Optimization, Ranking Optimization, Web Ranking Strategies"
Email Marketing,Digital Marketing,10 weeks,10%,Expert,"Email Campaigns, Newsletter Marketing, Email Automation, Email Advertising, Email Strategy, Direct Emailing, Marketing Emails, Email Engagement, Lead Nurturing, Email Blasts"
Content Writing,Digital Marketing,10 weeks,10%,Expert,"Creative Writing, Article Writing, Blog Writing, Copywriting, Web Content Writing, SEO Content, Technical Writing, Editorial Writing, Online Content Creation, Content Development"
Social Media Marketing,Digital Marketing,6 weeks,10%,Expert,"SMM, Social Media Advertising, Social Media Strategy, Facebook Marketing, Instagram Marketing, Twitter Ads, LinkedIn Marketing, Social Media Campaigns, Online Marketing, Social Media Promotions"
Google Adwords,Digital Marketing,4 weeks,10%,Expert,"Google Ads, PPC (Pay-Per-Click), Google AdWords Campaign, Google Marketing, AdWords Advertising, SEM (Search Engine Marketing), Paid Search, Google Search Ads, Search Ads, Google PPC"
LinkedIn,Freelancing Programs,4 weeks,10%,Expert,"LinkedIn Profile, LinkedIn Networking, LinkedIn Branding, Professional Networking, LinkedIn Jobs, LinkedIn Marketing, LinkedIn Business, LinkedIn Freelancing, LinkedIn Profile Setup, LinkedIn Connections"
Upwork,Freelancing Programs,4 weeks,10%,Expert,"Upwork Freelancing, Upwork Jobs, Upwork Profile, Upwork Marketplace, Freelance on Upwork, Upwork Gigs, Upwork Work, Upwork Opportunities, Upwork Freelancer, Upwork Projects"
Freelancer,Freelancing Programs,4 weeks,10%,Expert,"Freelancer.com, Freelancing Website, Freelance Jobs, Freelancer Marketplace, Freelancer Profile, Freelancer Gigs, Freelancer Projects, Freelance Work, Freelancer Opportunities"
TikTok Shop,E-Commerce Programs,6 weeks,10%,Expert,"TikTok Store, TikTok E-commerce, TikTok Marketplace, TikTok Shop Setup, TikTok Product Sales, TikTok Selling, TikTok Online Store, TikTok Commerce"
Shopify Outline,E-Commerce Programs,6 weeks,10%,Expert,"Shopify Basics, Shopify Introduction, Shopify Setup, Shopify E-commerce, Shopify Store Setup, Shopify Fundamentals, Shopify Store Outline, Shopify Platform Overview"
Amazon Full stack,E-Commerce Programs,8 weeks,10%,Expert,"Amazon Full Stack Development, Amazon Web Development, Full Stack Amazon, AWS Full Stack, Amazon Web Services Full Stack, AWS Development, Amazon Web Development Course"
Wordpress,Development Programs,4 weeks,10%,Expert,"WordPress Development, WordPress Design, WordPress Website Development, WordPress Site Building, WordPress CMS, WordPress Web Development, WordPress for Beginners, WordPress Theme Development"
App Development with JAVA,Development Programs,12 weeks,10%,Expert,"Java App Development, Java Mobile Development, Android App Development with Java, Java for Android, Java Programming for Mobile, Java-Based App Development, Java Development for Beginners"
App Development with kotlin,Development Programs,12 weeks,10%,Expert,"Kotlin Mobile Development, Kotlin for Android, Kotlin App Development, Android Development with Kotlin, Kotlin Programming for Mobile, Kotlin for App Development, Kotlin Android Development"
full stack web development,Development Programs,14 weeks,10%,Expert,"Full Stack Development, Full Stack Web Programming, Web Development Full Stack, Full Stack Web Design, Full Stack Web Development with React, Full Stack Web Development with Node.js, Full Stack JavaScript Development, Full Stack Application Development, Web Development Full Stack (Frontend & Backend), front end, backend, mern stack "
Flutter App Development,Development Programs,16 weeks,10%,Expert,"Flutter Mobile Development, Flutter App Programming, Flutter for Mobile, Cross-Platform Mobile Development with Flutter, Flutter for Beginners, Flutter UI Development, Flutter Development for iOS and Android, Flutter App Programming"
